STATE_ALPHA,YEAR,corn_acres_planted,corn_production,plantedYield
IL,1989,109e5,132225e4,121.30733944954129
IL,1990,106e5,13208e5,124.60377358490567
IL,1991,112e5,1177e6,105.08928571428571
IL,1992,112e5,164645e4,147.00446428571428
IL,1993,105e5,13e8,123.80952380952381
IL,1994,116e5,17862e5,153.98275862068965
IL,1995,102e5,113e7,110.7843137254902
IL,1996,11e6,14688e5,133.52727272727273
IL,1997,112e5,142545e4,127.27232142857143
IL,1998,106e5,147345e4,139.00471698113208
IL,1999,108e5,1491e6,138.05555555555554
IL,2000,112e5,166855e4,148.97767857142858
IL,2001,11e6,16492e5,149.92727272727274
IL,2002,111e5,14715e5,132.56756756756758
IL,2003,112e5,18122e5,161.80357142857142
IL,2004,1175e4,2088e6,177.70212765957447
IL,2005,121e5,170885e4,141.22727272727272
IL,2006,113e5,181745e4,160.8362831858407
IL,2007,132e5,228375e4,173.01136363636363
IL,2008,121e5,21301e5,176.04132231404958
IL,2009,12e6,20532e5,171.1
IL,2010,126e5,19468e5,154.5079365079365
IL,2011,126e5,193895e4,153.88492063492063
IL,2012,128e5,128625e4,100.48828125
IL,2013,12e6,21004e5,175.03333333333333
IL,2014,119e5,235e7,197.47899159663865
IL,2015,117e5,20125e5,172.008547008547
IL,2016,116e5,225565e4,194.45258620689654
IL,2017,112e5,220095e4,196.51339285714286
IL,2018,11e6,NA,NA
