year,PlanType,stAbbr,liab,prem,indem,acres
1989,Yield,AL,151450623,9619754,14406217,509993
1989,Yield,AR,102701965,10665921,20334004,902422
1989,Yield,AZ,10409453,809760,871836,16707
1989,Yield,CA,274834502,17674204,22340877,424844
1989,Yield,CO,126928888,12033601,16580514,1202635
1989,Yield,CT,1323665,66628,183042,827
1989,Yield,DE,9891516,682683,503185,71138
1989,Yield,FL,114175e3,8555727,11195575,174903
1989,Yield,GA,344149687,19902248,23407168,988969
1989,Yield,HI,21778902,278943,0,4486
1989,Yield,IA,2703331009,114706814,84039104,14584467
1989,Yield,ID,115035309,6836078,10692838,727329
1989,Yield,IL,1573962279,59100487,49559423,8322113
1989,Yield,IN,430617648,18470273,11950916,2565306
1989,Yield,KS,506661855,38681936,134021865,6468412
1989,Yield,KY,115041884,6632953,4137128,472187
1989,Yield,LA,129040528,13506326,38073860,1088895
1989,Yield,MA,5539712,239168,186998,2503
1989,Yield,MD,19519813,1365082,937599,133911
1989,Yield,ME,4229160,278303,167034,5756
1989,Yield,MI,153014301,10640571,17665647,1055930
1989,Yield,MN,1265258523,78640926,36869046,9654899
1989,Yield,MO,265286349,22426360,24011793,2289485
1989,Yield,MS,81792874,8868766,19558290,757886
1989,Yield,MT,323046557,26868735,29943637,6012766
1989,Yield,NC,472129153,17569144,29718446,615136
1989,Yield,ND,843207795,67713711,155596455,14574365
1989,Yield,NE,922824930,51176950,73102340,6300481
1989,Yield,NJ,4126313,411110,1068137,20198
1989,Yield,NM,14011645,1647817,5176419,225978
1989,Yield,NV,143668,7252,61747,2113
1989,Yield,NY,16990475,1017960,2147920,57288
1989,Yield,OH,212410669,10168547,11608528,1457330
1989,Yield,OK,110192835,8502645,15618940,1428958
1989,Yield,OR,54758465,2223545,2879832,467042
1989,Yield,PA,36170524,2569310,2738243,268714
1989,Yield,RI,520220,30821,38820,271
1989,Yield,SC,103375885,5486969,8968261,236602
1989,Yield,SD,375399850,36559522,45485606,6272423
1989,Yield,TN,28259210,2617656,4791681,199725
1989,Yield,TX,646496338,66061010,213711891,6233274
1989,Yield,UT,6394100,611774,1482358,81971
1989,Yield,VA,136008880,6314457,6355094,363725
1989,Yield,VT,1246668,169091,132636,1992
1989,Yield,WA,207067562,10824867,12579845,1499414
1989,Yield,WI,291577547,18338175,10953621,2302376
1989,Yield,WV,4205651,336174,759098,22364
1989,Yield,WY,29565922,1816548,4034636,278096
1990,Yield,AL,172683290,11515814,68996933,611766
1990,Yield,AR,115440070,12465149,27824931,1137647
1990,Yield,AZ,12817765,846756,1828365,20479
1990,Yield,CA,330627282,22508533,33795292,559800
1990,Yield,CO,140069318,14766942,8840799,1451538
1990,Yield,CT,2712465,129755,94878,1142
1990,Yield,DE,8786094,607445,95164,71372
1990,Yield,FL,129342086,9679346,24909898,191362
1990,Yield,GA,401057283,22517250,143564495,1061877
1990,Yield,HI,21447996,276592,0,4128
1990,Yield,IA,2030818026,84458673,35613083,12059730
1990,Yield,ID,119038782,7607553,12041831,639520
1990,Yield,IL,1009399497,38748141,21012004,5802908
1990,Yield,IN,315809e3,13883386,8732680,1967017
1990,Yield,KS,631828102,48178226,19810448,8879132
1990,Yield,KY,108322640,5744973,4427466,348837
1990,Yield,LA,144047711,15784481,31178448,1303697
1990,Yield,MA,6596108,259116,568593,2964
1990,Yield,MD,17771294,1235087,375006,126022
1990,Yield,ME,3439962,205835,648673,5536
1990,Yield,MI,125687354,9427208,7617624,788303
1990,Yield,MN,1292173314,80988006,31764476,9777253
1990,Yield,MO,183795687,15492972,10190476,1714807
1990,Yield,MS,106471315,12524270,22871834,1132887
1990,Yield,MT,345104918,28338734,53241881,5495148
1990,Yield,NC,526323658,20235376,19942378,726406
1990,Yield,ND,1009788200,84504659,88270926,14859947
1990,Yield,NE,842826843,49718280,24383665,6501132
1990,Yield,NJ,2964288,272865,760626,19773
1990,Yield,NM,19862915,2757831,5648948,359768
1990,Yield,NV,289905,13222,59225,2255
1990,Yield,NY,19642364,1180113,1179397,103270
1990,Yield,OH,201443386,9824584,6535494,1467689
1990,Yield,OK,181270813,16029955,14352002,2599805
1990,Yield,OR,57891398,2316360,3642748,427483
1990,Yield,PA,25088670,1860592,1486485,194977
1990,Yield,RI,425939,23538,4186,293
1990,Yield,SC,111240293,6044363,14525404,241283
1990,Yield,SD,391507020,38641782,26694457,6007657
1990,Yield,TN,39462689,3641819,5970086,249908
1990,Yield,TX,937672010,99872775,157137394,8942192
1990,Yield,UT,9112206,979048,4188440,106844
1990,Yield,VA,143561440,6445553,5958711,364291
1990,Yield,VT,858220,118286,116457,1919
1990,Yield,WA,196925537,10181812,10917506,1324683
1990,Yield,WI,182261807,11340041,8858814,1222315
1990,Yield,WV,4559068,343195,926738,22532
1990,Yield,WY,31251536,1981343,1337369,256331
1991,Yield,AL,190019460,13353002,14653731,542956
1991,Yield,AR,99621708,9415430,27083531,806792
1991,Yield,AZ,21182337,1138885,2906747,33089
1991,Yield,CA,390974768,25992652,34720893,493321
1991,Yield,CO,113096894,10024401,10009327,1087696
1991,Yield,CT,2958303,164978,63848,948
1991,Yield,DE,5900218,444975,196305,49962
1991,Yield,FL,152256908,12563199,10656149,181887
1991,Yield,GA,487441081,30415143,36685581,1093731
1991,Yield,HI,18697047,261833,0,3065
1991,Yield,IA,1595892836,69096889,48773526,9563751
1991,Yield,ID,95264540,6550636,7429645,450386
1991,Yield,IL,842540451,34959910,78162331,4829466
1991,Yield,IN,299849383,14212732,38509667,1810008
1991,Yield,KS,475809212,33900577,43814321,6572253
