year,stFips,cropCd,yieldDev
1980,6,41,-0.019708821128461854
1981,6,41,-0.06634009553774914
1982,6,41,-0.028744181450164958
1983,6,41,-0.044372121230326654
1984,6,41,0.14727078465790902
1985,6,41,0.09808118647739356
1986,6,41,0.0043852447367713505
1987,6,41,0.12193650370701424
1988,6,41,-0.014198036745244126
1989,6,41,0.07905367326467028
1990,6,41,-0.038876062721624985
1991,6,41,-0.20195716196270228
1992,6,41,-0.03941096708523889
1993,6,41,0.03815392432369181
1994,6,41,0.09744890444917995
1995,6,41,-0.15415637064765922
1996,6,41,0.09883901050629675
1997,6,41,0.2241540109103579
1998,6,41,0.058072380679321384
1999,6,41,-0.01126786006508114
2000,6,41,0.08598121577699576
2001,6,41,-0.027471218032136268
2002,6,41,-0.18068263731729614
2003,6,41,-0.2445711644319799
2004,6,41,-0.11272826990022895
2005,6,41,-0.2554406745369775
2006,6,41,-0.3347474768955574
2007,6,41,0.03689539869532063
2008,6,41,-0.013347568889140175
2009,6,41,0.06893149926273981
2010,6,41,0.20311070115552476
2011,6,41,-0.0561248389580477
2012,6,41,0.19960640851098682
2013,6,41,0.3191519315708205
1980,8,41,-0.2088623916095314
1981,8,41,-0.07445391812542002
1982,8,41,-0.11212327679061812
1983,8,41,-0.18628053940747874
1984,8,41,-0.07587164807617555
1985,8,41,0.007116365288115314
1986,8,41,0.06720641750050141
1987,8,41,0.13513250323225626
1988,8,41,0.19301167287083462
1989,8,41,0.08807455606816261
1990,8,41,0.14605273935028001
1991,8,41,0.13090978858687952
1992,8,41,0.11089246530606205
1993,8,41,-0.10362236656180615
1994,8,41,0.1175225000571438
1995,8,41,-0.1837732197625429
1996,8,41,0.06251796989769644
1997,8,41,0.10239045717326158
1998,8,41,0.10300728740127742
1999,8,41,0.08351762460270795
2000,8,41,-0.10154573819817102
2001,8,41,0.026692727984954985
2002,8,41,-0.24827555326676332
2003,8,41,-0.0717940267428938
2004,8,41,-0.024878150852117656
2005,8,41,0.06413042123694566
2006,8,41,0.11571938913188982
2007,8,41,0.027341428440552467
2008,8,41,-0.08140347424524842
2009,8,41,0.14145301903827145
2010,8,41,0.13753957102737896
2011,8,41,-0.04656341883350057
2012,8,41,-0.21836231421818125
2013,8,41,-0.12259374747715082
1980,13,41,-0.2796955337172558
1981,13,41,-0.13574355773557958
1982,13,41,0.4683479512676933
1983,13,41,0.2087980918973722
1984,13,41,0.3014105247613539
1985,13,41,0.2641264849733099
1986,13,41,-0.2474250446613534
1987,13,41,0.15867186605370276
1988,13,41,-0.2352077978995541
1989,13,41,0.2222729001702413
1990,13,41,-0.2194850986542001
1991,13,41,0.22020106833151035
1992,13,41,0.18485219861837687
1993,13,41,-0.2477467434395518
1994,13,41,0.15367892388247048
1995,13,41,-0.0758622553641673
1996,13,41,-0.01989778211701233
1997,13,41,0.046978434833824315
1998,13,41,-0.5144549268984601
1999,13,41,-0.07364986673583793
2000,13,41,-0.27082529309877573
2001,13,41,0.10857197045092347
2002,13,41,-0.08796440619394799
2003,13,41,0.01969103540298958
2004,13,41,-0.008643212357910489
2005,13,41,-0.012707114237574252
2006,13,41,-0.21750611606093093
2007,13,41,-0.029672636624233396
2008,13,41,-0.006023927839398424
2009,13,41,0.023251979830010285
2010,13,41,-0.02136968015270849
2011,13,41,-0.015319417941364
2012,13,41,0.26261524945209325
2013,13,41,0.2215394888000635
1980,17,41,-0.13503270992738878
1981,17,41,0.14966002286980373
1982,17,41,0.17755707581784066
1983,17,41,-0.3118345077313514
1984,17,41,-0.009494781028812686
1985,17,41,0.15825217587453624
1986,17,41,0.14117691421830286
1987,17,41,0.10172671484785387
1988,17,41,-0.40868556006524986
1989,17,41,-0.001878907245479532
1990,17,41,0.01009364196458808
1991,17,41,-0.16050518206116504
1992,17,41,0.15747427568814773
1993,17,41,-0.03895083881322607
1994,17,41,0.17858617020889775
1995,17,41,-0.1637237406997703
1996,17,41,-0.005726253488215145
1997,17,41,-0.06499381365265135
1998,17,41,0.007702835072803932
1999,17,41,-0.012231647305209864
2000,17,41,0.05219100937081119
2001,17,41,0.045437768809388566
2002,17,41,-0.08721357737582136
2003,17,41,0.100278820439208
2004,17,41,0.1935944327437912
2005,17,41,-0.06287536954618456
2006,17,41,0.05448639888608123
2007,17,41,0.12091272047722047
2008,17,41,0.1272301298545376
2009,17,41,0.0829488672019393
2010,17,41,-0.033222511826057025
2011,17,41,-0.04412559700330934
2012,17,41,-0.38525500587012057
2013,17,41,0.05897060471229188
1980,18,41,-0.0801021119937871
1981,18,41,0.0041996451389951115
1982,18,41,0.16780229972548225
1983,18,41,-0.3468598614407431
1984,18,41,0.05207961133910143
1985,18,41,0.09358052428579813
1986,18,41,0.0667447010118843
1987,18,41,0.16527825037419308
1988,18,41,-0.30426109964455383
1989,18,41,0.11108358338692303
1990,18,41,0.06407870067730197
1991,18,41,-0.2511493257539275
1992,18,41,0.18644114994178193
1993,18,41,0.045041142138245734
1994,18,41,0.12976735396040998
1995,18,41,-0.12098319132512177
1996,18,41,-0.06340917903970461
1997,18,41,-0.08149197116106253
1998,18,41,7.67682686202432e-05
1999,18,41,-0.027734114392028827
2000,18,41,0.058038378907409066
2001,18,41,0.12137018485472507
2002,18,41,-0.15016751295982655
2003,18,41,0.008993029276682437
2004,18,41,0.1566914624461308
2005,18,41,0.05653661577266009
2006,18,41,0.06512025489814897
2007,18,41,0.034955312919342556
2008,18,41,0.039352199222761355
2009,18,41,0.11822558534847019
2010,18,41,0.009784008016307338
2011,18,41,-0.06618491178843901
2012,18,41,-0.3798136128532826
2013,18,41,0.10875161636763753
1980,19,41,0.03490041444243941
1981,19,41,0.1663291206791901
1982,19,41,0.09106529660156984
1983,19,41,-0.2381193882030501
1984,19,41,-0.014379974829959582
1985,19,41,0.10160531702670425
1986,19,41,0.1641952856627507
1987,19,41,0.0965145650742393
1988,19,41,-0.3248583805593977
1989,19,41,-0.0433164015042505
1990,19,41,0.0003393139692122195
1991,19,41,-0.08002873672178569
1992,19,41,0.14248398734679954
1993,19,41,-0.4285773166824618
1994,19,41,0.1381942255604944
1995,19,41,-0.09539899647680344
1996,19,41,0.0006828354959327184
1997,19,41,-0.015693852525713863
1998,19,41,0.019176136375229604
1999,19,41,0.0308169436105572
2000,19,41,-0.018023035763671254
2001,19,41,-0.020075683311265604
2002,19,41,0.07501892533570118
2003,19,41,0.016832631065671146
2004,19,41,0.1666180892466314
2005,19,41,0.09998392339794958
2006,19,41,0.04504324838385013
2007,19,41,0.060770074303738666
2008,19,41,0.02919890783199249
2009,19,41,0.09862737777868841
2010,19,41,-0.020846758191634392
2011,19,41,0.005442054384580649
2012,19,41,-0.21473598069208835
2013,19,41,-0.06742686425900343
1980,20,41,-0.39169714551190116
1981,20,41,0.017817573257055023
1982,20,41,-0.08213845854751473
1983,20,41,-0.3096641368204207
1984,20,41,-0.049454914926506416
1985,20,41,0.06663125920547631
1986,20,41,0.13647638029217288
1987,20,41,-0.01201788968559094
1988,20,41,0.03464403966857895
1989,20,41,0.01346600237044521
1990,20,41,0.050757726656761475
1991,20,41,0.0175458829197432
1992,20,41,0.24030245643888784
1993,20,41,-0.04912557066813807
1994,20,41,0.14464892895896198
1995,20,41,-0.008146467072366754
1996,20,41,0.24202585704893506
1997,20,41,0.17032031378628557
1998,20,41,0.2037756000962908
1999,20,41,0.14502135773017275
2000,20,41,0.02108997669889516
2001,20,41,-0.044206251218791265
2002,20,41,-0.21325433314776024
2003,20,41,-0.12657890285219944
2004,20,41,0.1717739157489019
2005,20,41,0.0685882122890021
2006,20,41,-0.1410646620699144
2007,20,41,0.08166162171612472
2008,20,41,0.04527325134974521
2009,20,41,0.20246192189969728
2010,20,41,-0.016393422582283497
2011,20,41,-0.25026444497772027
2012,20,41,-0.3430695865023314
2013,20,41,-0.04186051900273715
1980,21,41,-0.14144609487841536
1981,21,41,0.15878254323248334
1982,21,41,0.1882056536912138
1983,21,41,-0.524312650824954
1984,21,41,0.09740303375698611
1985,21,41,0.10838493624765513
1986,21,41,-0.04205065497267205
1987,21,41,0.05732534840957985
1988,21,41,-0.29911335773182995
1989,21,41,0.14346348739399892
1990,21,41,-0.032550632245542194
1991,21,41,-0.15242053720984405
1992,21,41,0.2636847472067038
1993,21,41,-0.050159429188522946
1994,21,41,0.16397335610331615
1995,21,41,-0.050031680724145426
1996,21,41,0.1098964242959108
1997,21,41,-0.11176035972365464
1998,21,41,-0.023325835011231467
1999,21,41,-0.13690494985515453
2000,21,41,0.08676388948042686
2001,21,41,0.1570177650934934
2002,21,41,-0.1612706195887965
2003,21,41,0.08782834348154768
2004,21,41,0.21231958309745796
2005,21,41,0.038392454068144295
2006,21,41,0.11237527915738454
2007,21,41,-0.037488857315674216
2008,21,41,0.0020630974162162254
2009,21,41,0.21986623704077934
2010,21,41,-0.12022237631784
2011,21,41,-0.0023416516318687593
2012,21,41,-0.5263476970969898
2013,21,41,0.17696459835429948
1980,26,41,0.10320393971340894
1981,26,41,0.0993377107005053
1982,26,41,0.19185526887229484
1983,26,41,-0.056402842925679104
1984,26,41,-0.11412612762218544
1985,26,41,0.11226597051167395
1986,26,41,0.08322990884579597
1987,26,41,-0.034598549693618086
1988,26,41,-0.39516452204189795
1989,26,41,0.07709234492158974
1990,26,41,0.08353432982646902
1991,26,41,0.04382824940361123
1992,26,41,-0.05751887245898197
1993,26,41,-0.027189318963097363
1994,26,41,0.03824707699839469
1995,26,41,0.019113019095567528
1996,26,41,-0.1995701507038365
1997,26,41,-0.012441433980057419
1998,26,41,-0.0576791278120834
1999,26,41,0.08020394619605921
2000,26,41,0.014361261471461684
2001,26,41,-0.17587632261012656
2002,26,41,-0.06906353090356304
2003,26,41,0.018411033511649983
2004,26,41,0.016228401554946502
2005,26,41,0.09410408411901322
2006,26,41,0.10009315306482013
2007,26,41,-0.09582199072872838
2008,26,41,0.010239149351270894
2009,26,41,0.06593125402930236
2010,26,41,0.048613298152457005
2011,26,41,0.05661541053974803
2012,26,41,-0.06673124733996817
2013,26,41,0.03014864379344792
1980,27,41,0.03390323871043863
1981,27,41,0.1531780029237015
1982,27,41,0.16536542473775
1983,27,41,-0.18954822818543005
1984,27,41,0.04123351057644375
1985,27,41,0.05859624532017478
1986,27,41,0.126995878417623
1987,27,41,0.14380761703899325
1988,27,41,-0.39686342644509126
1989,27,41,0.0893957843320166
1990,27,41,0.07267153612378978
1991,27,41,0.004695329171221284
1992,27,41,-0.07326058142243862
1993,27,41,-0.5497761681393631
1994,27,41,0.1280030509054714
1995,27,41,-0.07795564990582543
1996,27,41,-0.042207542353181325
1997,27,41,-0.0144284045339483
1998,27,41,0.12386417771021474
1999,27,41,0.0863622546874904
2000,27,41,0.023699161734540033
2001,27,41,-0.11077081033396945
2002,27,41,0.07609654986131477
2003,27,41,-0.024523276042377834
2004,27,41,0.06219520488378227
2005,27,41,0.14034105979566186
2006,27,41,0.037239958088438864
2007,27,41,-0.07886819549227528
2008,27,41,0.0183052487052126
2009,27,41,0.069460744500181
2010,27,41,0.07887857088235993
2011,27,41,-0.06146354985076841
2012,27,41,-0.021182647232596295
2013,27,41,-0.0694861488609271
1980,29,41,-0.47315475004299534
1981,29,41,0.21090359785173307
1982,29,41,0.12315303135065059
1983,29,41,-0.49356399834317133
1984,29,41,-0.14753800432578917
1985,29,41,0.1951877129219913
1986,29,41,0.23239484985066344
1987,29,41,0.18831517397728406
1988,29,41,-0.24483001034574747
1989,29,41,-0.024957358396686027
1990,29,41,0.02635238745399986
1991,29,41,-0.04370441856598395
